Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
Victor Dimukeje,ARI,24,OLB,16,6,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.25,2.00,1.31,0.69,0.31,0.50,
Calijah Kancey,TAM,22,DL,14,14,0.00,0.00,0.00,0,0.07,,,,,0,0.29,1.86,1.36,0.50,0.71,0.86,
Tyquan Lewis,IND,28,DE,17,0,0.00,0.00,0.00,0,0.18,,,,,0,0.24,1.47,1.06,0.41,0.53,0.76,
Markus Golden,PIT,32,LB,16,0,0.00,0.00,0.00,0,0.06,0.00,0.00,1,0,0,0.25,1.25,0.88,0.38,0.38,0.63,
Yannick Ngakoue,CHI,28,DL,13,13,,,0.00,,,,,,,0,0.31,1.69,1.00,0.69,0.46,0.54,
Karl Brooks,GNB,23,DL,17,0,0.00,0.00,0.00,0,0.24,0.06,0.00,2,0,0,0.24,1.18,0.71,0.47,0.35,0.29,
Matt Judon,NWE,31,LB,4,2,,,0.00,,,,,,,0,1.00,3.25,2.50,0.75,1.25,2.25,0.25
Dante Fowler,DAL,29,DE,17,0,0.00,0.00,0.00,0,0.18,0.06,0.00,0,0,0,0.24,0.76,0.47,0.29,0.29,0.41,
Bobby Wagner*,SEA,33,LB,17,16,0.00,0.00,0.00,0,0.18,0.00,0.00,1,0,0,0.21,10.8,5.65,5.12,0.65,0.35,
Patrick Queen*,BAL,24,LB,17,17,0.06,1.24,0.00,21,0.35,0.06,0.00,1,0,0,0.21,7.82,4.94,2.88,0.53,0.35,
Robert Spillane,LVR,28,LB,17,17,0.18,3.12,0.00,25,0.24,0.06,0.00,1,0,0,0.21,8.71,4.82,3.88,0.41,0.24,
Eric Kendricks,LAC,31,LILB,15,14,0.00,0.00,0.00,0,0.40,0.07,0.00,0,0,0,0.23,7.80,5.27,2.53,0.47,0.47,
Jeremiah Owusu-Koramoah*,CLE,24,LB,16,13,0.13,0.50,0.00,8,0.38,0.06,0.00,0,0,0,0.22,6.31,4.50,1.81,1.25,0.31,
Zaven Collins,ARI,24,LB,17,17,0.06,0.06,0.00,1,0.18,0.00,0.00,1,0,0,0.21,2.41,1.59,0.82,0.35,0.35,
Nathan Shepherd,NOR,30,DT,17,17,,,0.00,,,,,,,0,0.21,2.94,1.59,1.35,0.24,0.47,
Mack Wilson,NWE,25,LB,17,1,0.00,0.00,0.00,0,0.18,0.12,0.00,0,0,0,0.21,2.18,1.41,0.76,0.24,0.24,
Dante Stills,ARI,24,DT,15,8,,,0.00,,,0.00,0.00,1,0,0,0.23,3.13,1.20,1.93,0.33,0.33,
DeMarcus Walker,CHI,29,DL,17,12,,,0.00,,,,,,,0,0.21,1.76,1.00,0.76,0.53,0.94,
Roy Robertson-Harris,JAX,30,DL,17,17,0.00,0.00,0.00,0,0.06,,,,,0,0.21,2.00,0.94,1.06,0.18,0.65,
Tyree Wilson,LVR,23,DE,17,0,,,0.00,,,0.06,0.00,1,0,0,0.21,1.71,0.94,0.76,0.12,0.47,
Clelin Ferrell,SFO,26,DL,17,17,0.00,0.00,0.00,0,0.06,0.06,0.00,1,0,0,0.21,1.65,0.88,0.76,0.35,0.76,
John Franklin-Myers,NYJ,27,DL,17,17,0.00,0.00,0.00,0,0.18,,,,,0,0.21,1.94,0.88,1.06,0.35,0.82,
Randy Gregory,2TM,31,LB,16,3,0.00,0.00,0.00,0,0.06,,,,,0,0.22,1.25,0.88,0.38,0.38,0.63,
Javon Kinlaw,SFO,26,DT,17,6,0.00,0.00,0.00,0,0.18,,,,,0,0.21,1.47,0.76,0.71,0.24,0.35,
Tanoh Kpassagnon,NOR,29,DE,17,0,0.00,0.00,0.00,0,0.12,,,,,0,0.21,1.12,0.71,0.41,0.24,0.53,
Alex Anzalone,DET,29,LB,16,16,0.00,0.00,0.00,0,0.38,0.00,0.00,1,0,0,0.19,8.06,5.31,2.75,0.44,0.75,
Kenneth Murray,LAC,25,LB,15,15,0.07,0.00,0.00,0,0.27,,,,,0,0.20,7.13,5.27,1.87,0.47,0.27,
Justin Reid,KAN,26,S,16,16,0.06,0.69,0.00,11,0.44,0.06,0.00,0,0,0,0.19,5.94,4.63,1.31,0.31,0.31,
Richie Grant,ATL,26,S,17,15,0.06,0.24,0.00,4,0.35,0.12,0.00,0,0,0,0.18,6.06,3.88,2.18,0.18,0.29,
Nicholas Morrow,PHI,28,LB,15,12,0.00,0.00,0.00,0,0.33,0.07,0.00,2,0,0,0.20,6.33,4.40,1.93,0.80,0.33,0.07
Kyle Hamilton*+,BAL,22,S,15,15,0.27,1.67,0.07,18,0.87,0.07,0.00,0,0,0,0.20,5.40,4.20,1.20,0.67,0.27,
Josey Jewell,DEN,29,LB,16,15,0.00,0.00,0.00,0,0.19,0.13,0.00,3,10,0,0.19,6.75,3.75,3.00,0.13,0.19,
Trent McDuffie+,KAN,23,CB,16,16,0.00,0.00,0.00,0,0.44,0.31,0.00,0,0,0,0.19,5.00,3.75,1.25,0.19,0.56,
Harrison Smith,MIN,34,S,17,17,0.00,0.00,0.00,0,0.18,0.18,0.00,0,0,0,0.18,5.47,3.53,1.94,0.12,0.35,
Devon Witherspoon*,SEA,23,CB,14,13,0.07,6.93,0.07,97,1.14,0.07,0.00,0,0,0,0.21,5.64,4.00,1.64,0.57,0.29,
Jamin Davis,WAS,25,LB,13,13,0.08,0.00,0.00,0,0.31,0.15,0.00,0,0,0,0.23,6.85,3.85,3.00,0.62,0.23,
Harrison Phillips,MIN,27,DL,17,17,0.00,0.00,0.00,0,0.12,,,,,0,0.18,5.41,2.59,2.82,0.12,0.35,
Leo Chenal,KAN,23,LB,17,10,0.00,0.00,0.00,0,0.06,,,,,0,0.18,3.82,2.35,1.47,0.47,0.41,
P.J. Locke,DEN,26,S,12,8,0.08,1.17,0.00,14,0.42,0.17,0.00,0,0,0,0.25,4.42,2.75,1.67,0.17,0.25,
Osa Odighizuwa,DAL,25,DT,17,17,,,0.00,,,,,,,0,0.18,2.71,1.53,1.18,0.53,0.76,
Lorenzo Carter,ATL,28,OLB,17,1,0.00,0.00,0.00,0,0.06,0.06,0.00,2,19,0,0.18,2.06,1.41,0.65,0.35,0.53,
Ifeatu Melifonwu,DET,24,S,17,6,0.12,2.06,0.00,24,0.47,0.06,0.00,0,0,0,0.18,1.94,1.41,0.53,0.24,0.29,
Jerry Hughes,HOU,35,DE,17,2,,,0.00,,,0.06,0.00,0,0,0,0.18,1.88,1.35,0.53,0.24,0.18,
Anthony Nelson,TAM,26,OLB,16,0,0.00,0.00,0.00,0,0.06,,,,,0,0.19,2.50,1.31,1.19,0.44,0.38,
Larry Ogunjobi,PIT,29,DT,17,17,0.00,0.00,0.00,0,0.12,0.06,0.00,2,0,0,0.18,2.53,1.24,1.29,0.18,0.47,
Nick Herbig,PIT,22,LB,17,0,,,0.00,,,0.12,0.00,1,0,0,0.18,1.59,1.12,0.47,0.29,0.18,
Sebastian Joseph-Day,2TM,28,DT-LDE/RDE,16,14,,,0.00,,,,,,,0,0.19,2.25,1.19,1.06,0.19,0.69,
Zach Harrison,ATL,22,DL,16,0,0.00,0.00,0.00,0,0.06,,,,,0,0.19,2.06,1.13,0.94,0.25,0.31,
