Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
Delarrin Turner-Yell,DEN,24,S,16,2,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.13,1.63,0.50,0.00,0.06,
DeAundre Alford,ATL,26,CB,16,5,0.00,0.00,0.00,0,0.38,0.00,0.13,2,0,0,0.00,2.56,1.56,1.00,0.13,0.00,
D'Anthony Bell,CLE,27,S,17,4,0.12,0.47,0.00,6,0.24,0.06,0.00,0,0,0,0.00,1.65,1.47,0.18,0.24,0.06,
Montaric Brown,JAX,24,CB,12,6,0.00,0.00,0.00,0,0.33,,,,,0,0.00,2.83,2.08,0.75,0.00,0.00,
Cordale Flott,NYG,22,CB,14,7,0.07,1.50,0.00,21,0.36,0.07,0.00,0,0,0,0.00,2.57,1.79,0.79,0.00,0.00,
DeMarcco Hellams,ATL,23,S,15,4,,,0.00,,,,,,,0,0.00,2.67,1.67,1.00,0.07,0.07,
J.C. Jackson,2TM,28,CB-RCB,10,8,0.10,0.90,0.00,9,0.90,,,,,0,0.00,2.80,2.50,0.30,0.00,0.00,
Ja'Sir Taylor,LAC,24,DB,16,6,0.06,0.50,0.00,8,0.50,,,,,0,0.00,2.00,1.56,0.44,0.00,0.13,
Dorian Williams,BUF,22,LB,17,2,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.35,1.47,0.88,0.00,0.12,
Isaac Yiadom,NOR,27,CB,17,8,0.06,0.00,0.00,0,0.82,0.00,0.00,1,0,0,0.00,2.18,1.47,0.71,0.00,0.00,
Jakorian Bennett,LVR,23,CB,14,4,0.00,0.00,0.00,0,0.21,,,,,0,0.00,2.29,1.71,0.57,0.00,0.00,
Nick Cross,IND,22,S,17,2,0.06,1.06,0.00,18,0.12,,,,,0,0.00,2.29,1.41,0.88,0.06,0.00,
Ronald Darby,BAL,29,LCB,16,7,0.00,0.00,0.00,0,0.44,,,,,0,0.00,1.75,1.50,0.25,0.06,0.00,
Davon Godchaux,NWE,29,DL,17,17,,,0.00,,,0.00,0.00,1,0,0,0.00,3.29,1.41,1.88,0.12,0.06,
Tre Hawkins,NYG,23,CB,17,3,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.06,1.41,0.65,0.00,0.00,
Austin Johnson,LAC,29,DL,17,17,0.00,0.00,0.00,0,0.12,0.06,0.00,1,0,0,0.00,2.71,1.41,1.29,0.12,0.06,
John Johnson,LAR,28,DB,17,8,0.12,2.59,0.00,42,0.35,,,,,0,0.00,2.47,1.41,1.06,0.00,0.00,
Khalen Saunders,NOR,27,DT,17,17,0.00,0.00,0.00,0,0.06,,,,,0,0.00,3.35,1.41,1.94,0.06,0.12,
Jaire Alexander,GNB,26,CB,7,7,0.00,0.00,0.00,0,0.71,0.14,0.00,0,0,0,0.00,3.86,3.29,0.57,0.14,0.00,
Adrian Amos,2TM,30,DB-S,16,3,0.00,0.00,0.00,0,0.06,0.00,0.00,1,0,0,0.00,1.75,1.44,0.31,0.00,0.00,
Andre Chachere,ARI,27,CB,17,5,0.00,0.00,0.00,0,0.18,,,,,0,0.00,1.76,1.35,0.41,0.00,0.00,
Ashtyn Davis,NYJ,27,S,17,5,0.18,3.88,0.00,51,0.47,0.00,0.06,3,-3,0,0.00,2.18,1.35,0.82,0.18,0.00,
Cobie Durant,LAR,25,DB,16,9,0.00,0.00,0.00,0,0.38,,,,,0,0.00,2.44,1.44,1.00,0.00,0.13,
Tedarrell Slaton,GNB,26,DL,17,17,0.00,0.00,0.00,0,0.12,,,,,0,0.00,2.94,1.35,1.59,0.12,0.12,
Anthony Walker,CLE,28,MLB,12,12,0.00,0.00,0.00,0,0.33,0.08,0.00,2,0,0,0.00,3.67,1.92,1.75,0.08,0.17,
Ji'Ayir Brown,SFO,23,S,15,5,0.13,0.00,0.00,0,0.27,,,,,0,0.00,2.33,1.47,0.87,0.00,0.00,
Mike Ford,CLE,28,LB,16,1,0.06,0.63,0.00,10,0.13,0.00,0.00,1,0,0,0.00,1.75,1.38,0.38,0.00,0.00,
Marlon Humphrey,BAL,27,CB,10,10,0.10,0.30,0.00,3,0.50,,,,,0,0.00,2.60,2.20,0.40,0.10,0.10,
Deane Leonard,LAC,24,DB,11,3,0.00,0.00,0.00,0,0.27,0.09,0.00,0,0,0,0.00,2.55,2.00,0.55,0.09,0.00,
Roy Lopez,ARI,26,DT,14,5,,,0.00,,,,,,,0,0.00,3.00,1.57,1.43,0.14,0.07,
Nick Niemann,LAC,26,LB,17,3,0.00,0.00,0.00,0,0.06,0.00,0.06,1,-2,0,0.00,2.35,1.29,1.06,0.06,0.06,
Clark Phillips,ATL,22,CB,11,5,0.00,0.00,0.00,0,0.45,,,,,0,0.00,2.45,2.00,0.45,0.09,0.00,
Eric Rowe,PIT,31,S,3,3,0.33,8.33,0.00,25,0.67,0.33,0.00,0,0,0,0.00,9.67,7.33,2.33,0.33,0.00,
Jack Cochrane,KAN,24,LB,17,1,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.65,1.24,0.41,0.12,0.00,
Miles Killebrew*+,PIT,30,DB,17,1,,,0.00,,,,,,,0,0.00,1.53,1.24,0.29,0.06,0.06,0.06
Shaun Wade,NWE,25,CB,14,6,0.00,0.00,0.00,0,0.07,,,,,0,0.00,1.64,1.50,0.14,0.14,0.00,
Mykal Walker,PIT,26,LB,8,5,0.13,3.75,0.00,30,0.25,,,,,0,0.00,4.13,2.63,1.50,0.25,0.00,
Sam Franklin,CAR,27,S,17,4,0.06,5.82,0.06,99,0.18,,,,,0,0.00,1.76,1.18,0.59,0.00,0.00,
Elijah Hicks,CHI,24,DB,17,6,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.06,1.18,0.88,0.00,0.00,
Jaycee Horn,CAR,24,CB,6,6,0.00,0.00,0.00,0,0.83,,,,,0,0.00,4.50,3.33,1.17,0.17,0.00,
Josh Jobe,PHI,25,CB,17,3,0.00,0.00,0.00,0,0.24,0.06,0.00,0,0,0,0.00,1.29,1.18,0.12,0.00,0.00,
Nick McCloud,NYG,25,CB,17,3,0.06,0.00,0.00,0,0.12,0.18,0.06,3,1,0,0.00,1.65,1.18,0.47,0.00,0.00,
Segun Olubi,IND,24,LB,15,2,0.07,0.00,0.00,0,0.07,0.00,0.00,1,6,0,0.00,1.73,1.33,0.40,0.00,0.00,
Eric Garror,TEN,23,DB,12,4,0.00,0.00,0.00,0,0.17,0.00,0.17,0,0,0,0.00,1.83,1.58,0.25,0.08,0.08,
Bradley Roby,PHI,31,CB,9,2,,,0.00,,,0.11,0.00,0,0,0,0.00,2.44,2.11,0.33,0.22,0.11,
Trenton Thompson,PIT,26,DB,6,1,0.17,1.00,0.00,6,0.50,,,,,0,0.00,3.67,3.17,0.50,0.00,0.00,
Garrett Williams,ARI,22,CB,9,6,0.11,0.00,0.00,0,0.22,,,,,0,0.00,2.56,2.11,0.44,0.11,0.00,
Devin Bush Jr.,SEA,25,LB,13,3,,,0.00,,,,,,,0,0.00,2.85,1.38,1.46,0.38,0.00,
Darrick Forrest,WAS,24,S,5,5,,,0.00,,,,,,,0,0.00,5.80,3.60,2.20,0.00,0.00,
Derick Hall,SEA,22,OLB,17,0,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.24,1.06,1.18,0.18,0.29,
Anthony Johnson,GNB,24,S,12,4,0.08,0.08,0.00,1,0.25,,,,,0,0.00,2.00,1.50,0.50,0.00,0.00,
Jaylon Jones,CHI,26,DB,17,0,,,0.00,,,,,,,0,0.00,1.35,1.06,0.29,0.06,0.06,
Matt Milano,BUF,29,LB,5,5,0.40,3.20,0.00,13,0.40,0.20,0.00,0,0,0,0.00,6.00,3.60,2.40,0.20,0.20,
Jalen Ramsey*,MIA,29,CB,10,10,0.30,5.20,0.00,49,0.50,,,,,0,0.00,2.20,1.80,0.40,0.00,0.00,
Terrell Burgess,WAS,25,S,12,1,,,0.00,,,,,,,0,0.00,2.08,1.42,0.67,0.00,0.00,
Dee Delaney,TAM,28,DB,17,2,0.12,0.24,0.00,4,0.29,,,,,0,0.00,1.47,1.00,0.47,0.06,0.00,
Ronnie Hickman,CLE,22,S,10,4,0.10,3.00,0.10,30,0.30,,,,,0,0.00,2.50,1.70,0.80,0.00,0.00,
Darnay Holmes,NYG,25,CB,16,0,0.13,0.81,0.00,11,0.19,0.06,0.00,0,0,0,0.00,1.13,1.06,0.06,0.06,0.00,
Cameron Lewis,BUF,26,CB,17,0,0.00,0.00,0.00,0,0.12,,,,,0,0.00,1.24,1.00,0.24,0.06,0.00,
Luke Masterson,LVR,25,LB,16,1,0.00,0.00,0.00,0,0.06,0.13,0.00,0,0,0,0.00,1.69,1.06,0.63,0.00,0.00,
Leighton Vander Esch,DAL,27,LB,5,5,,,0.00,,,0.00,0.00,1,11,1,0.00,6.00,3.40,2.60,0.20,0.00,
K.J. Britt,TAM,25,LB,16,4,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.81,1.00,0.81,0.06,0.00,
Folorunso Fatukasi,JAX,28,NT,16,16,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.50,1.00,0.50,0.19,0.13,
Tony Fields,CLE,24,LB,17,4,,,0.00,,,0.00,0.00,1,0,1,0.00,2.00,0.94,1.06,0.00,0.00,
C.J. Gardner-Johnson,DET,26,DB,3,2,0.33,0.00,0.00,0,1.00,,,,,0,0.00,5.67,5.33,0.33,0.00,0.00,
Lawrence Guy,NWE,33,RDE,17,12,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.24,0.94,1.29,0.06,0.00,
Tyler Hall,LVR,25,CB,11,3,,,0.00,,,,,,,0,0.00,1.82,1.45,0.36,0.00,0.00,
Rodney McLeod,CLE,33,S,10,5,0.00,0.00,0.00,0,0.10,,,,,0,0.00,2.90,1.60,1.30,0.20,0.00,
John Ridgeway,WAS,24,DT,17,2,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.82,0.94,0.88,0.00,0.00,
Eric Wilson,GNB,29,LB,17,0,,,0.00,,,,,,,0,0.00,1.82,0.94,0.88,0.00,0.06,
Christian Elliss,2TM,24,LB,16,1,,,0.00,,,,,,,0,0.00,1.44,0.94,0.50,0.13,0.00,
Tre Flowers,ATL,28,CB,17,3,0.00,0.00,0.00,0,0.12,,,,,0,0.00,1.24,0.88,0.35,0.06,0.00,
David Long,3TM,25,CB-DB,14,2,0.00,0.00,0.00,0,0.07,,,,,0,0.00,1.36,1.07,0.29,0.00,0.00,
Johnathan Abram,NOR,27,S,9,3,0.11,0.00,0.00,0,0.11,0.11,0.00,0,0,0,0.00,2.89,1.56,1.33,0.11,0.00,
Dicaprio Bootle,CAR,26,CB,8,2,0.00,0.00,0.00,0,0.25,,,,,0,0.00,1.75,1.75,0.00,0.00,0.00,
Coby Bryant,SEA,24,CB,9,2,,,0.00,,,0.11,0.00,0,0,0,0.00,2.00,1.56,0.44,0.00,0.11,
Mike Hughes,ATL,26,CB,15,4,0.00,0.00,0.00,0,0.07,,,,,0,0.00,1.40,0.93,0.47,0.13,0.00,
Theo Jackson,MIN,25,S,15,0,0.07,0.00,0.00,0,0.07,,,,,0,0.00,1.40,0.93,0.47,0.00,0.07,
Cam Jones,KAN,24,LB,17,1,,,0.00,,,,,,,0,0.00,1.00,0.82,0.18,0.00,0.00,
Monty Rice,TEN,24,LB,12,0,,,0.00,,,,,,,0,0.00,2.17,1.17,1.00,0.08,0.08,
Chandon Sullivan,PIT,27,CB,17,2,0.06,0.00,0.00,0,0.35,0.06,0.00,0,0,0,0.00,1.29,0.82,0.47,0.06,0.00,
Juanyeh Thomas,DAL,23,S,16,1,0.00,0.00,0.00,0,0.25,,,,,0,0.00,1.38,0.88,0.50,0.00,0.00,
Joshua Williams,KAN,24,CB,16,2,0.00,0.00,0.00,0,0.31,,,,,0,0.00,1.13,0.88,0.25,0.06,0.00,
Amare Barno,CAR,24,OLB,15,1,,,0.00,,,,,,,0,0.00,1.40,0.87,0.53,0.07,0.00,
Essang Bassey,2TM,25,DB-NT,15,2,0.00,0.00,0.00,0,0.20,,,,,0,0.00,1.40,0.87,0.53,0.00,0.00,
Artie Burns,SEA,28,CB,14,1,0.00,0.00,0.00,0,0.14,,,,,0,0.00,1.64,0.93,0.71,0.14,0.00,
Malik Harrison,BAL,25,LB,14,8,,,0.00,,,,,,,0,0.00,1.43,0.93,0.50,0.00,0.07,
Danny Johnson,WAS,28,CB,13,0,0.00,0.00,0.00,0,0.08,,,,,0,0.00,1.31,1.00,0.31,0.00,0.00,
Kaevon Merriweather,TAM,24,S,16,2,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.31,0.81,0.50,0.00,0.00,
Eli Ricks,PHI,22,CB,16,0,0.00,0.00,0.00,0,0.19,,,,,0,0.00,1.19,0.81,0.38,0.06,0.00,
Malcolm Roach,NOR,25,DL,12,0,0.00,0.00,0.00,0,0.25,,,,,0,0.00,3.17,1.08,2.08,0.25,0.08,
Malcolm Rodriguez,DET,24,LB,17,3,,,0.00,,,0.06,0.00,0,0,0,0.00,1.24,0.76,0.47,0.00,0.00,
Drew Sanders,DEN,23,LB,17,4,,,0.00,,,0.00,0.00,1,0,0,0.00,1.41,0.76,0.65,0.06,0.00,
Andre Smith,ATL,26,LB,11,1,0.00,0.00,0.00,0,0.09,0.09,0.00,1,0,0,0.00,1.73,1.18,0.55,0.00,0.00,
M.J. Stewart,HOU,28,S,8,1,,,0.00,,,0.13,0.00,1,0,0,0.00,2.75,1.63,1.13,0.00,0.00,
Cameron Thomas,ARI,23,OLB,15,3,0.00,0.00,0.00,0,0.07,0.00,0.00,1,2,1,0.00,1.47,0.87,0.60,0.20,0.07,
Nick Thurman,CAR,28,DE,17,0,,,0.00,,,,,,,0,0.00,1.82,0.76,1.06,0.12,0.06,
Grayland Arnold,HOU,26,S,8,0,,,0.00,,,0.13,0.00,0,0,0,0.00,2.25,1.50,0.75,0.13,0.00,
Andrew Billings,CHI,28,DL,17,17,,,0.00,,,,,,,0,0.00,1.59,0.71,0.88,0.18,0.12,
Demetrius Flannigan-Fowles,SFO,27,LB,16,1,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.19,0.75,0.44,0.25,0.00,
Will Harris,DET,28,CB,17,2,0.06,0.00,0.00,0,0.12,0.00,0.00,1,3,0,0.00,1.06,0.71,0.35,0.06,0.06,
Marte Mapu,NWE,24,LB,17,1,0.06,1.18,0.00,20,0.06,0.06,0.00,0,0,0,0.00,1.06,0.71,0.35,0.00,0.00,
Kyle Peko,TEN,30,DT,13,10,0.00,0.00,0.00,0,0.08,,,,,0,0.00,1.69,0.92,0.77,0.15,0.15,
Otis Reese,TEN,25,LB,7,3,,,0.00,,,,,,,0,0.00,3.00,1.71,1.29,0.00,0.00,
Matthew Adams,CLE,28,LB,17,1,,,0.00,,,0.06,0.00,0,0,0,0.00,1.00,0.65,0.35,0.00,0.00,
Montravius Adams,PIT,28,DT,13,8,0.00,0.00,0.00,0,0.08,0.08,0.00,0,0,0,0.00,1.85,0.85,1.00,0.15,0.00,
SirVocea Dennis,TAM,23,LB,13,0,0.00,0.00,0.00,0,0.08,,,,,0,0.00,1.00,0.85,0.15,0.00,0.00,
Dallis Flowers,IND,26,CB,4,4,0.00,0.00,0.00,0,0.75,,,,,0,0.00,3.75,2.75,1.00,0.25,0.00,
Del'Shawn Phillips,BAL,27,LB,17,1,,,0.00,,,0.06,0.00,1,0,0,0.00,1.41,0.65,0.76,0.06,0.00,
Mike Purcell,DEN,32,DL,16,10,0.00,0.00,0.00,0,0.19,0.00,0.00,1,-1,0,0.00,1.56,0.69,0.88,0.06,0.31,
Troy Reeder,LAR,29,LB,17,6,,,0.00,,,,,,,0,0.00,1.35,0.65,0.71,0.00,0.00,
Jon Rhattigan,SEA,24,LB,17,0,,,0.00,,,,,,,0,0.00,1.00,0.65,0.35,0.00,0.00,
Jammie Robinson,CAR,22,S,15,2,,,0.00,,,,,,,0,0.00,1.13,0.73,0.40,0.00,0.00,
Brenden Schooler,NWE,26,DB,17,0,,,0.00,,,0.00,0.00,2,0,0,0.00,0.76,0.65,0.12,0.00,0.00,
Nephi Sewell,NOR,25,LB,16,0,,,0.00,,,0.06,0.00,0,0,0,0.00,0.94,0.69,0.25,0.13,0.00,
Ben Skowronek,LAR,26,WR,17,0,,,0.00,,,,,,,0,0.00,0.76,0.65,0.12,0.00,0.00,
Tre'Vius Tomlinson,LAR,22,DB,15,0,,,0.00,,,,,,,0,0.00,0.87,0.73,0.13,0.00,0.00,
Rashad Weaver,TEN,26,OLB,15,0,0.00,0.00,0.00,0,0.07,,,,,0,0.00,1.33,0.73,0.60,0.27,0.00,
Ameer Abdullah,LVR,30,RB,17,0,,,0.00,,,,,,,0,0.00,0.71,0.59,0.12,0.00,0.00,
Amari Burney,LVR,23,LB,7,1,,,0.00,,,,,,,0,0.00,2.14,1.43,0.71,0.00,0.00,
Elijah Campbell,MIA,28,DB,15,1,0.00,0.00,0.00,0,0.07,0.00,0.00,1,0,0,0.00,1.00,0.67,0.33,0.00,0.00,
Akeem Davis-Gaither,CIN,26,LB,13,1,,,0.00,,,,,,,0,0.00,1.31,0.77,0.54,0.08,0.00,
Kaiir Elam,BUF,22,CB,3,2,,,0.00,,,,,,,0,0.00,4.67,3.33,1.33,0.00,0.00,
William Gholston,TAM,32,DL,16,1,0.06,0.00,0.00,0,0.13,,,,,0,0.00,1.19,0.63,0.56,0.00,0.00,
Matt Henningsen,DEN,24,DE,17,0,0.00,0.00,0.00,0,0.12,,,,,0,0.00,1.12,0.59,0.53,0.00,0.06,
Otito Ogbonnia,LAC,22,DT,8,2,,,0.00,,,,,,,0,0.00,2.63,1.25,1.38,0.00,0.25,
Adrian Phillips,NWE,31,DE,17,1,,,0.00,,,,,,,0,0.00,1.00,0.59,0.41,0.00,0.00,
Kindle Vildor,2TM,26,CB-DB,7,2,0.00,0.00,0.00,0,0.29,0.14,0.00,0,0,0,0.00,1.57,1.43,0.14,0.29,0.14,
Tre'Davious White,BUF,28,CB,4,4,0.25,0.50,0.00,2,0.50,,,,,0,0.00,3.00,2.50,0.50,0.25,0.25,
Cameron Young,SEA,23,DT,16,1,0.00,0.00,0.00,0,0.06,,,,,0,0.00,1.13,0.63,0.50,0.06,0.06,
Carter Coughlin,NYG,26,LB,17,0,,,0.00,,,,,,,0,0.00,0.53,0.53,0.00,0.00,0.00,
Trevor Denbow,IND,25,S,17,0,,,0.00,,,,,,,0,0.00,0.71,0.53,0.18,0.00,0.00,
Justin Evans,PHI,28,S,4,4,0.00,0.00,0.00,0,0.50,0.25,0.00,1,0,0,0.00,3.75,2.25,1.50,0.00,0.00,
Josh Hayes,TAM,24,DB,15,0,,,0.00,,,,,,,0,0.00,1.13,0.60,0.53,0.00,0.00,
Daiyan Henley,LAC,24,LB,15,0,,,0.00,,,,,,,0,0.00,1.07,0.60,0.47,0.00,0.00,
Siran Neal,BUF,29,CB,17,0,,,0.00,,,,,,,0,0.00,0.76,0.53,0.24,0.00,0.00,
Ronnie Perkins,DEN,24,OLB,7,0,,,0.00,,,,,,,0,0.00,1.86,1.29,0.57,0.29,0.14,
Jerrick Reed,SEA,23,S,10,0,,,0.00,,,,,,,0,0.00,1.10,0.90,0.20,0.00,0.00,
Logan Ryan,SFO,32,S,5,2,,,0.00,,,,,,,0,0.00,2.60,1.80,0.80,0.20,0.00,
Khyiris Tonga,MIN,27,DL,14,2,,,0.00,,,,,,,0,0.00,1.07,0.64,0.43,0.07,0.14,
Rock Ya-Sin,BAL,27,CB,14,1,0.00,0.00,0.00,0,0.14,,,,,0,0.00,0.93,0.64,0.29,0.00,0.00,
Nick Bellore*,SEA,34,LB,16,0,,,0.00,,,,,,,0,0.00,0.88,0.50,0.38,0.00,0.00,
Angelo Blackson,JAX,31,DT,11,0,,,0.00,,,0.00,0.00,3,0,0,0.00,1.18,0.73,0.45,0.18,0.00,
Tony Brown,IND,28,CB,12,1,0.08,2.83,0.00,34,0.08,0.08,0.00,0,0,0,0.00,0.83,0.67,0.17,0.00,0.00,
Zachary Carter,CIN,24,DT,17,5,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.00,1.35,0.47,0.88,0.06,0.12,
Matthias Farley,CAR,31,S,5,1,,,0.00,,,,,,,0,0.00,1.80,1.60,0.20,0.00,0.00,
Jake Hansen,HOU,25,LB,14,0,,,0.00,,,,,,,0,0.00,0.86,0.57,0.29,0.00,0.00,
Neville Hewitt,HOU,30,LB,16,0,,,0.00,,,,,,,0,0.00,0.88,0.50,0.38,0.00,0.00,
Dylan Horton,HOU,23,DE,10,0,,,0.00,,,0.00,0.00,1,0,0,0.00,1.30,0.80,0.50,0.10,0.20,
Lonnie Johnson Jr.,NOR,28,CB,12,0,0.08,0.00,0.00,0,0.17,0.00,0.00,1,0,0,0.00,0.75,0.67,0.08,0.00,0.00,
Isaiahh Loudermilk,PIT,26,DT,16,0,0.00,0.00,0.00,0,0.13,,,,,0,0.00,1.00,0.50,0.50,0.00,0.06,
Avonte Maddox,PHI,27,CB,4,2,0.00,0.00,0.00,0,0.50,0.25,0.00,0,0,0,0.00,3.00,2.00,1.00,0.25,0.00,
Ross Matiscik*+,JAX,27,LS,17,0,,,0.00,,,0.06,0.00,1,0,0,0.00,0.47,0.47,0.00,0.00,0.00,
Chad Muma,JAX,24,LB,17,2,0.00,0.00,0.00,0,0.12,,,,,0,0.00,0.88,0.47,0.41,0.00,0.00,
Eric Murray,HOU,29,S,6,4,,,0.00,,,0.17,0.00,0,0,0,0.00,2.17,1.33,0.83,0.00,0.00,
Ameer Speed,2TM,24,CB,13,0,,,0.00,,,,,,,0,0.00,0.69,0.62,0.08,0.08,0.00,
Josh Tupou,CIN,29,DT,14,1,,,0.00,,,,,,,0,0.00,1.36,0.57,0.79,0.07,0.07,
Zeke Turner,ARI,27,LB,16,1,,,0.00,,,,,,,0,0.00,1.25,0.50,0.75,0.00,0.00,
Daryl Worley,BAL,28,CB,12,2,0.00,0.00,0.00,0,0.08,,,,,0,0.00,1.00,0.67,0.33,0.00,0.00,
Alex Austin,2TM,22,CB-RCB,8,1,0.13,0.00,0.00,0,0.25,,,,,0,0.00,1.13,0.88,0.25,0.00,0.00,
Chris Board,NWE,28,LB,17,0,,,0.00,,,,,,,0,0.00,0.59,0.41,0.18,0.00,0.00,
Curtis Bolton,LVR,28,LB,13,0,,,0.00,,,,,,,0,0.00,0.62,0.54,0.08,0.00,0.00,
Andrew Booth,MIN,23,CB,17,1,0.00,0.00,0.00,0,0.06,,,,,0,0.00,0.47,0.41,0.06,0.00,0.00,
Cam Brown,NYG,25,LB,16,0,,,0.00,,,0.06,0.00,0,0,0,0.00,0.50,0.44,0.06,0.00,0.00,
Matt Dickerson,KAN,28,DT,12,0,,,0.00,,,,,,,0,0.00,1.25,0.58,0.67,0.08,0.00,
Khalil Dorsey,DET,25,CB,13,2,0.00,0.00,0.00,0,0.08,,,,,0,0.00,0.85,0.54,0.31,0.00,0.00,
Brandin Echols,NYJ,26,CB,14,1,0.07,2.14,0.07,30,0.14,,,,,0,0.00,0.79,0.50,0.29,0.00,0.00,
J.T. Gray,NOR,27,DB,14,0,,,0.00,,,,,,,0,0.00,0.86,0.50,0.36,0.00,0.00,
Kahlef Hailassie,CLE,23,CB,9,1,0.00,0.00,0.00,0,0.11,,,,,0,0.00,0.89,0.78,0.11,0.11,0.00,
DaVon Hamilton,JAX,26,DT,8,2,,,0.00,,,,,,,0,0.00,1.50,0.88,0.63,0.13,0.00,
Albert Huggins,ATL,26,DL,13,5,,,0.00,,,0.00,0.00,1,0,0,0.00,1.69,0.54,1.15,0.00,0.15,
Jake Hummel,LAR,24,LB,17,0,,,0.00,,,,,,,0,0.00,0.59,0.41,0.18,0.00,0.00,
Gregory Junior,JAX,24,CB,9,0,0.00,0.00,0.00,0,0.11,,,,,0,0.00,1.22,0.78,0.44,0.22,0.00,
Jordan Kunaszyk,CLE,27,LB,5,0,,,0.00,,,,,,,0,0.00,1.80,1.40,0.40,0.40,0.00,
Jeremiah Ledbetter,JAX,29,DL,17,2,0.00,0.00,0.00,0,0.06,0.00,0.00,1,0,0,0.00,1.41,0.41,1.00,0.06,0.06,
Larrell Murchison,LAR,26,DT,15,3,,,0.00,,,,,,,0,0.00,1.07,0.47,0.60,0.07,0.00,
LaBryan Ray,CAR,26,DT,17,1,,,0.00,,,,,,,0,0.00,1.12,0.41,0.71,0.00,0.00,
Isaac Rochell,LVR,28,DE,8,1,,,0.00,,,,,,,0,0.00,1.25,0.88,0.38,0.25,0.00,
Duke Shelley,LAR,27,DB,11,0,0.00,0.00,0.00,0,0.18,0.00,0.00,1,9,0,0.00,0.73,0.64,0.09,0.00,0.00,
Daniel Thomas,JAX,25,S,15,0,,,0.00,,,,,,,0,0.00,0.53,0.47,0.07,0.00,0.00,
DJ Turner,LVR,26,WR,10,0,,,0.00,,,0.10,0.00,1,0,0,0.00,1.00,0.70,0.30,0.00,0.00,
Ugo Amadi,NOR,26,S,17,0,0.00,0.00,0.00,0,0.12,,,,,0,0.00,0.71,0.35,0.35,0.00,0.00,
Markus Bailey,CIN,26,LB,17,0,,,0.00,,,,,,,0,0.00,0.59,0.35,0.24,0.00,0.00,
Josh Blackwell,CHI,24,DB,10,0,,,0.00,,,0.10,0.00,0,0,0,0.00,0.80,0.60,0.20,0.00,0.00,
Irvin Charles,NYJ,26,WR,12,0,,,0.00,,,,,,,0,0.00,0.58,0.50,0.08,0.00,0.00,
Alex Cook,CAR,24,S,10,2,,,0.00,,,,,,,0,0.00,1.10,0.60,0.50,0.10,0.00,
Jaylinn Hawkins,2TM,26,DB-S,16,3,0.00,0.00,0.00,0,0.06,,,,,0,0.00,0.88,0.38,0.50,0.00,0.00,
Ka'dar Hollman,HOU,29,CB,17,1,,,0.00,,,0.00,0.00,1,0,0,0.00,0.59,0.35,0.24,0.00,0.00,
D'Shawn Jamison,CAR,24,CB,15,1,0.00,0.00,0.00,0,0.07,,,,,0,0.00,0.67,0.40,0.27,0.00,0.00,
DJ Johnson,CAR,25,OLB,13,3,0.00,0.00,0.00,0,0.08,,,,,0,0.00,1.23,0.46,0.77,0.08,0.00,
LaCale London,ATL,26,DL,7,0,,,0.00,,,0.00,0.00,1,0,0,0.00,1.86,0.86,1.00,0.29,0.00,
Scott Matlock,LAC,23,DL,12,0,,,0.00,,,,,,,0,0.00,1.25,0.50,0.75,0.08,0.08,
Ty Montgomery,NWE,30,RB,13,0,,,0.00,,,,,,,0,0.00,0.54,0.46,0.08,0.00,0.00,
Jeremiah Moon,BAL,25,LB,8,1,,,0.00,,,0.25,0.00,0,0,0,0.00,1.50,0.75,0.75,0.13,0.00,
George Odum,SFO,30,S,11,0,,,0.00,,,,,,,0,0.00,1.09,0.55,0.55,0.00,0.00,
James Pierre,PIT,27,CB,16,0,,,0.00,,,,,,,0,0.00,0.50,0.38,0.13,0.00,0.00,
Pierre Strong,CLE,25,RB,17,1,,,0.00,,,0.06,0.06,0,0,0,0.00,0.47,0.35,0.12,0.00,0.00,
Grant Stuard,IND,25,LB,17,0,,,0.00,,,,,,,0,0.00,0.41,0.35,0.06,0.00,0.06,
Chazz Surratt,NYJ,26,LB,14,0,,,0.00,,,,,,,0,0.00,0.57,0.43,0.14,0.00,0.00,
Shaq Thompson,CAR,29,LB,2,2,,,0.00,,,,,,,0,0.00,4.00,3.00,1.00,0.00,0.00,
Dee Winters,SFO,23,LB,15,0,0.00,0.00,0.00,0,0.07,,,,,0,0.00,0.67,0.40,0.27,0.00,0.00,
Charlie Woerner,SFO,26,TE,17,2,,,0.00,,,,,,,0,0.00,0.59,0.35,0.24,0.00,0.00,
